Link,UniqueClicks,PctUniqClicks,TotalClicks,PctTotal Clicks,NetCTR,EmailNumber,LinkPlacement,Date
https://usm.maine.edu/high-school-students,0,0.00%,0,0.00%,0.00%,Email11,Email11 Link_Number 21,01/08/2020
https://www.linkedin.com/school/university-of-southern-maine,0,0.00%,0,0.00%,0.00%,Email11,Email11 Link_Number 22,01/08/2020
https://youtube.com/user/usouthernmaine,0,0.00%,0,0.00%,0.00%,Email11,Email11 Link_Number 23,01/08/2020
Totals,733,,857,,,Email11,Email11 Link_Number 24,01/08/2020
,NA,,NA,,,Email11,Email11 Link_Number 25,01/08/2020
https://usm.maine.edu/apply,28,35.44%,34,25.19%,0.38%,Email12,Email12 Link_Number 1,01/28/2020
Unsubscribe,19,24.05%,51,37.78%,0.26%,Email12,Email12 Link_Number 2,01/28/2020
http://usm.maine.edu,5,6.33%,9,6.67%,0.07%,Email12,Email12 Link_Number 3,01/28/2020
https://usm.maine.edu/events/public,4,5.06%,9,6.67%,0.05%,Email12,Email12 Link_Number 4,01/28/2020
https://usm.maine.edu/scholarships/merit-scholarships,4,5.06%,7,5.19%,0.05%,Email12,Email12 Link_Number 5,01/28/2020
https://usm.maine.edu/activities/usm,4,5.06%,6,4.44%,0.05%,Email12,Email12 Link_Number 6,01/28/2020
https://usm.maine.edu/campuses,4,5.06%,6,4.44%,0.05%,Email12,Email12 Link_Number 7,01/28/2020
https://usm.maine.edu/visit#virtualtour,3,3.80%,3,2.22%,0.04%,Email12,Email12 Link_Number 8,01/28/2020
